molecule_chembl_id,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL4438144,N#Cc1ccc(Cn2nccc2-c2cc(F)c3nnn(-c4ccc5cn[nH]c5c4)c3c2)cc1,475.3430000000002,5.097600000000002,2.0,7.0,7.906578314837765
CHEMBL4467828,N#Cc1ccc(Cn2nccc2-c2cc(Cl)c3nnn(-c4ccc5cn[nH]c5c4)c3c2)cc1,461.31600000000014,4.910400000000003,1.0,7.0,7.723538195826756
CHEMBL4527606,Nc1nn(-c2ccc3cn[nH]c3c2)c2cc(-c3ccnn3Cc3ccc(Cl)cc3Cl)cnc12,467.8800000000001,3.4219800000000014,2.0,8.0,7.247951552180561
CHEMBL4454039,Clc1ccc(Cn2nccc2-c2cc(Cl)c3nnn(-c4ccc5cn[nH]c5c4)c3c2)nc1,477.31500000000017,4.203700000000002,2.0,7.0,7.336299074610352
CHEMBL4516795,N#Cc1ccc(Cn2nccc2-c2cc(F)c3nnn(-c4ccc5[nH]c(=O)[nH]c5c4)c3c2)cc1,477.3150000000001,4.203700000000002,2.0,7.0,7.2716462179787715
CHEMBL4454426,N#Cc1ccc(Cn2nccc2-c2cc3c(cn2)nnn3-c2ccc3[nH]c(=O)[nH]c3c2)c(Cl)c1,467.88000000000017,3.4219800000000005,2.0,8.0,7.305394801066432
CHEMBL4527142,O=c1[nH]c2ccc(-n3nnc4cnc(-c5ccnn5Cc5ccc(Cl)cc5Cl)cc43)cc2[nH]1,580.8300000000002,2.353300000000001,6.0,10.0,7.199970640755866
CHEMBL4522718,O=c1[nH]c2ccc(-n3nnc4c(Cl)cc(-c5ccnn5Cc5ccc(Cl)cn5)cc43)cc2[nH]1,580.8300000000002,2.353300000000001,6.0,10.0,7.262012673666569
CHEMBL4456158,N#Cc1ccc(Cn2nccc2-c2cc(Cl)c3nnn(-c4ccc5[nH]c(=O)[nH]c5c4)c3c2)nc1,580.8300000000002,2.353300000000001,6.0,10.0,7.251811972993799
CHEMBL4471306,C[C@H](Nc1cc(Cl)nc2c1cnn2[C@@H]1O[C@H](COP(=O)(O)CP(=O)(O)O)[C@@H](O)[C@H]1O)c1ccccc1F,581.8180000000002,1.7482999999999995,6.0,11.0,10.387216143280265
CHEMBL4761506,C[C@H](Nc1cc(Cl)nc2c1cnn2[C@@H]1O[C@H](COP(=O)(O)CP(=O)(O)O)[C@@H](O)[C@H]1O)c1ccc(F)cc1,580.8300000000002,2.353300000000001,6.0,10.0,9.939302159646388
CHEMBL4746184,C[C@H](Nc1nc(Cl)nc2c1ccn2[C@@H]1O[C@H](COP(=O)(O)CP(=O)(O)O)[C@@H](O)[C@H]1O)c1ccc(F)cc1,581.8180000000002,1.7482999999999995,6.0,11.0,10.508638306165727
CHEMBL4777161,C[C@H](Nc1nc(Cl)nc2c1cnn2[C@@H]1O[C@H](COP(=O)(O)CP(=O)(O)O)[C@@H](O)[C@H]1O)c1ccc(F)cc1,580.8300000000002,2.353300000000001,6.0,10.0,10.022276394711152
CHEMBL4797225,C[C@H](Nc1nc(Cl)nc2c1ccn2[C@@H]1O[C@H](COP(=O)(O)CP(=O)(O)O)[C@@H](O)[C@H]1O)c1cccc(F)c1,581.8180000000002,1.7482999999999995,6.0,11.0,10.494850021680094
CHEMBL4740465,C[C@H](Nc1nc(Cl)nc2c1cnn2[C@@H]1O[C@H](COP(=O)(O)CP(=O)(O)O)[C@@H](O)[C@H]1O)c1cccc(F)c1,563.8280000000002,1.6091999999999995,6.0,11.0,10.508638306165727
CHEMBL4776758,C[C@H](Nc1nc(Cl)nc2c1ccn2[C@@H]1O[C@H](COP(=O)(O)CP(=O)(O)O)[C@@H](O)[C@H]1O)c1ccccc1F,563.8280000000002,1.6091999999999995,6.0,11.0,10.55284196865778
CHEMBL4784155,C[C@H](Nc1nc(Cl)nc2c1cnn2[C@@H]1O[C@H](COP(=O)(O)CP(=O)(O)O)[C@@H](O)[C@H]1O)c1ccccc1F,549.8010000000003,1.0481999999999996,6.0,11.0,10.154901959985743
CHEMBL4745002,C[C@@H](Nc1nc(Cl)nc2c1cnn2[C@@H]1O[C@H](COP(=O)(O)CP(=O)(O)O)[C@@H](O)[C@H]1O)c1ccccc1,527.7950000000003,0.7905999999999995,6.0,11.0,10.236572006437063
CHEMBL4743437,C[C@H](Nc1nc(Cl)nc2c1cnn2[C@@H]1O[C@H](COP(=O)(O)CP(=O)(O)O)[C@@H](O)[C@H]1O)c1ccccc1,565.8190000000002,2.586400000000001,5.0,10.0,10.346787486224656
CHEMBL4790144,O=P(O)(O)CP(=O)(O)OC[C@H]1O[C@@H](n2ncc3c(NCc4ccccc4)nc(Cl)nc32)[C@H](O)[C@@H]1O,565.8190000000002,2.586400000000001,5.0,10.0,10.2839966563652
CHEMBL4749428,O=P(O)(O)CP(=O)(O)OC[C@H]1O[C@@H](n2ncc3c(NC4CCCC4)nc(Cl)nc32)[C@H](O)[C@@H]1O,551.7920000000003,2.0254,5.0,10.0,10.568636235841012
CHEMBL4784883,C[C@@H](Nc1nc(Cl)nc2c1cnn2[C@@H]1O[C@H](COP(=O)(O)CP(=O)(O)O)[C@@H](O)[C@@H]1F)c1ccccc1,529.7860000000004,1.7677999999999998,5.0,10.0,8.67778070526608
CHEMBL4742951,C[C@H](Nc1nc(Cl)nc2c1cnn2[C@@H]1O[C@H](COP(=O)(O)CP(=O)(O)O)[C@@H](O)[C@@H]1F)c1ccccc1,609.4850000000004,1.5743999999999994,6.0,12.0,8.267606240177031
CHEMBL4752494,O=P(O)(O)CP(=O)(O)OC[C@H]1O[C@@H](n2ncc3c(NCc4ccccc4)nc(Cl)nc32)[C@@H](F)[C@@H]1O,601.4650000000004,2.1961,6.0,11.0,8.229147988357855
CHEMBL4763896,O=P(O)(O)CP(=O)(O)OC[C@H]1O[C@@H](n2ncc3c(NC4CCCC4)nc(Cl)nc32)[C@@H](F)[C@@H]1O,565.4320000000005,1.5577999999999994,6.0,11.0,9.823908740944319
CHEMBL4777118,O=P(O)(O)CP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(NC4CCCC4)nc(C(O)C4CCOCC4)nc32)[C@@H](F)[C@@H]1O,539.3940000000001,1.2607999999999995,5.0,11.0,6.694648630553377
